"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "Log", "comment", "blank", "total"
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-leave.js", "JavaScript", 0, 78, 0, 0, 0, 0, 8, 86
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-promote.js", "JavaScript", 0, 112, 0, 0, 0, 0, 10, 122
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-quote.js", "JavaScript", 0, 93, 0, 0, 0, 0, 9, 102
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad-rename.js", "JavaScript", 0, 84, 0, 0, 0, 0, 9, 93
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\escouades\squad.js", "JavaScript", 0, 65, 0, 0, 0, 0, 13, 78
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\crow-bait.js", "JavaScript", 0, 162, 0, 0, 0, 2, 23, 187
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\crow-feed.js", "JavaScript", 0, 102, 0, 0, 0, 1, 15, 118
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\dig.js", "JavaScript", 0, 164, 0, 0, 0, 2, 22, 188
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\forge-collect.js", "JavaScript", 0, 66, 0, 0, 0, 0, 12, 78
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\forge-list.js", "JavaScript", 0, 54, 0, 0, 0, 0, 9, 63
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\forge-weapon.js", "JavaScript", 0, 142, 0, 0, 0, 0, 9, 151
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\grimoire-enchant.js", "JavaScript", 0, 95, 0, 0, 0, 0, 7, 102
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\map.js", "JavaScript", 0, 47, 0, 0, 0, 0, 12, 59
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\travel-area.js", "JavaScript", 0, 85, 0, 0, 0, 0, 12, 97
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\exploration\travel-region.js", "JavaScript", 0, 88, 0, 0, 0, 2, 13, 103
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\owner\clear-db.js", "JavaScript", 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\owner\eval.js", "JavaScript", 0, 43, 0, 0, 0, 0, 7, 50
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\quetes\give.js", "JavaScript", 0, 97, 0, 0, 0, 0, 15, 112
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\quetes\inspect.js", "JavaScript", 0, 84, 0, 0, 0, 0, 16, 100
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\quetes\quests.js", "JavaScript", 0, 179, 0, 0, 0, 2, 19, 200
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\quetes\talk.js", "JavaScript", 0, 81, 0, 0, 0, 0, 14, 95
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\badges.js", "JavaScript", 0, 38, 0, 0, 0, 0, 9, 47
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\category.js", "JavaScript", 0, 105, 0, 0, 0, 0, 16, 121
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\claim.js", "JavaScript", 0, 53, 0, 0, 0, 0, 10, 63
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\crow.js", "JavaScript", 0, 51, 0, 0, 0, 0, 12, 63
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\grimoire-set.js", "JavaScript", 0, 69, 0, 0, 0, 0, 12, 81
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\grimoire-unset.js", "JavaScript", 0, 48, 0, 0, 0, 0, 6, 54
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\grimoires.js", "JavaScript", 0, 61, 0, 0, 0, 0, 9, 70
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\inventory.js", "JavaScript", 0, 45, 0, 0, 0, 0, 8, 53
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\lang.js", "JavaScript", 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\rank.js", "JavaScript", 0, 50, 0, 0, 0, 0, 10, 60
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\commands\stats\reset.js", "JavaScript", 0, 47, 0, 0, 0, 0, 4, 51
